pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_massj,pl_massjerr1,pl_massjerr2,pl_masslim,pl_massn,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinilim,pl_msinin,pl_radj,pl_radjerr1,pl_radjerr2,pl_radlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_teffn,st_mass,st_masserr,st_masslim,st_massblend,st_massn,st_rad,st_raderr,st_radlim,st_radblend,st_radn,hd_name,hip_name
HD 185269,b,Radial Velocity,1,6.83800000,0.00100000,-0.00100000,0,1,0.077000,,,0,1,0.300000,0.040000,-0.040000,0,1,,,,,0,,,,,0,0.94000,,,0,1,,,,,0,,,,,0,0,0,19h37m11.74s,+28d29m59.5s,294.298920,0.000001,28.499865,0.000001,2,47.37,1.60,-1.72,0,2,6.669,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 185269,HIP 96507
HD 187123,b,Radial Velocity,2,3.09700000,,,0,1,0.042000,,,0,1,0.030000,0.003000,-0.003000,0,1,,,,,0,,,,,0,0.52000,,,0,1,,,,,0,,,,,0,0,0,19h46m58.11s,+34d25m10.3s,296.742126,0.000001,34.419525,0.000002,2,47.92,1.58,-1.69,0,1,7.832,0.011,0,0,,,,,0,,,,,0,,,,,0,HD 187123,HIP 97336
HD 187123,c,Radial Velocity,2,3810.00000000,420.00000000,-420.00000000,0,1,4.890000,0.530000,-0.530000,0,1,0.252000,0.033000,-0.033000,0,1,,,,,0,,,,,0,1.99000,0.25000,-0.25000,0,1,,,,,0,,,,,0,0,0,19h46m58.11s,+34d25m10.3s,296.742126,0.000001,34.419525,0.000002,2,47.92,1.58,-1.69,0,1,7.832,0.011,0,0,,,,,0,,,,,0,,,,,0,HD 187123,HIP 97336
HD 187085,b,Radial Velocity,1,986.00000000,,,0,1,2.050000,,,0,1,0.470000,,,0,1,,,,,0,,,,,0,0.75000,,,0,1,,,,,0,,,,,0,0,0,19h49m33.97s,-37d46m50.0s,297.391541,0.000003,-37.780552,0.000002,2,44.98,2.19,-2.43,0,1,7.214,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 187085,HIP 97546
HD 188015,b,Radial Velocity,1,456.46000000,,,0,1,1.190000,,,0,1,0.150000,0.090000,-0.090000,0,1,,,,,0,,,,,0,1.26000,,,0,1,,,,,0,,,,,0,0,0,19h52m04.54s,+28d06m01.4s,298.018921,0.000001,28.100376,0.000002,2,52.63,2.51,-2.77,0,1,8.234,0.011,0,0,,,,,0,,,,,0,,,,,0,HD 188015,HIP 97769
HD 189733,b,Radial Velocity,1,2.21857578,0.00000080,-0.00000080,0,1,0.031420,0.000520,-0.000520,0,1,0.000000,,,0,1,85.780,0.250,-0.250,0,1,1.15000,0.03900,-0.03900,0,1,,,,,0,1.151,0.038,-0.038,0,1,1.00400,0.08900,-0.08900,0,1,0,0,20h00m43.71s,+22d42m39.1s,300.182129,0.000002,22.710854,0.000001,2,19.70,1.00,-1.00,0,2,7.676,0.010,0,0,5040.00,50.00,0,,1,0.84,0.04,0,,1,0.75,0.03,0,,1,HD 189733,HIP 98505
HD 190228,b,Radial Velocity,1,1127.00000000,42.00000000,-42.00000000,0,1,2.310000,,,0,1,0.430000,0.080000,-0.080000,0,1,,,,,0,,,,,0,4.99000,,,0,1,,,,,0,,,,,0,0,0,20h03m00.78s,+28d18m24.7s,300.753235,0.000001,28.306856,0.000002,2,62.11,2.97,-3.29,0,1,7.296,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 190228,HIP 98714
HD 190360,b,Radial Velocity,2,2891.00000000,85.00000000,-85.00000000,0,1,3.920000,0.200000,-0.200000,0,1,0.360000,0.030000,-0.030000,0,1,,,,,0,,,,,0,1.50200,0.13000,-0.13000,0,1,,,,,0,,,,,0,0,0,20h03m37.40s,+29d53m48.5s,300.905853,0.000001,29.896805,0.000001,3,15.89,0.16,-0.16,0,2,5.700,,0,0,,,,,0,,,,,0,,,,,0,HD 190360,HIP 98767
HD 190360,c,Radial Velocity,2,17.10000000,0.01500000,-0.01500000,0,1,0.128000,0.002000,-0.002000,0,1,0.010000,0.100000,-0.100000,0,1,,,,,0,,,,,0,0.05700,0.01500,-0.01500,0,1,,,,,0,,,,,0,0,0,20h03m37.40s,+29d53m48.5s,300.905853,0.000001,29.896805,0.000001,3,15.89,0.16,-0.16,0,2,5.700,,0,0,,,,,0,,,,,0,,,,,0,HD 190360,HIP 98767
HD 189567,b,Radial Velocity,1,14.27500000,,,,1,0.109900,,,,1,0.230000,,,,1,,,,,0,,,,,0,0.03160,,,0,1,,,,,0,,,,,0,0,0,20h05m32.76s,-67d19m15.2s,301.386505,0.000001,-67.320900,0.000001,3,17.72,0.23,-0.23,0,2,6.070,,0,0,,,,,0,,,,,0,,,,,0,HD 189567,HIP 98959
HD 190647,b,Radial Velocity,1,1038.10000000,4.90000000,-4.90000000,0,1,2.070000,0.060000,-0.060000,0,1,0.180000,0.020000,-0.020000,0,1,,,,,0,,,,,0,1.90000,0.06000,-0.06000,0,1,,,,,0,,,,,0,0,0,20h07m19.67s,-35d32m19.1s,301.831970,0.000003,-35.538631,0.000002,2,54.23,3.05,-3.44,0,1,7.775,0.013,0,0,,,,,0,,,,,0,,,,,0,HD 190647,HIP 99115
HD 190984,b,Radial Velocity,1,4885.00000000,,,0,1,,,,,0,,,,,0,,,,,0,,,,,0,3.10000,,,0,1,,,,,0,,,,,0,0,0,20h11m30.72s,-64d37m13.7s,302.877991,0.000002,-64.620468,0.000002,2,189.39,36.26,-58.74,0,1,8.761,0.014,0,0,,,,,0,,,,,0,,,,,0,HD 190984,HIP 99496
HD 192263,b,Radial Velocity,1,24.34800000,0.00500000,-0.00500000,0,1,0.150000,,,0,1,0.000000,,,0,1,,,,,0,,,,,0,0.72000,,,0,1,,,,,0,,,,,0,0,0,20h13m59.85s,-00d52m00.8s,303.499359,0.000004,-0.866877,0.000002,2,19.89,0.44,-0.46,0,2,7.768,0.012,0,0,,,,,0,,,,,0,,,,,0,HD 192263,HIP 99711
HD 192310,b,Radial Velocity,2,74.72000000,0.10000000,-0.10000000,0,1,0.320000,0.005000,-0.005000,0,1,0.130000,0.040000,-0.040000,0,1,,,,,0,,,,,0,0.05318,0.00283,-0.00283,0,1,,,,,0,,,,,0,0,0,20h15m17.39s,-27d01m58.7s,303.822449,0.000002,-27.032976,0.000001,3,8.82,0.07,-0.07,0,2,5.730,,0,0,,,,,0,,,,,0,,,,,0,HD 192310,HIP 99825
HD 192310,c,Radial Velocity,2,525.80000000,9.20000000,-9.20000000,0,1,1.180000,0.025000,-0.025000,0,1,0.320000,0.110000,-0.110000,0,1,,,,,0,,,,,0,0.07552,0.01573,-0.01573,0,1,,,,,0,,,,,0,0,0,20h15m17.39s,-27d01m58.7s,303.822449,0.000002,-27.032976,0.000001,3,8.82,0.07,-0.07,0,2,5.730,,0,0,,,,,0,,,,,0,,,,,0,HD 192310,HIP 99825
HD 192699,b,Radial Velocity,1,351.50000000,6.00000000,-6.00000000,0,1,1.160000,,,0,1,0.149000,0.060000,-0.060000,0,1,,,,,0,,,,,0,2.50000,,,0,1,,,,,0,,,,,0,0,0,20h16m06.01s,+04d34m50.9s,304.025024,0.000002,4.580795,0.000002,2,67.39,3.89,-4.40,0,1,6.446,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 192699,HIP 99894
