rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxlim,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenlim,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbincllim,pl_orbinclerr1,pl_orbinclerr2,pl_massj,pl_masslim,pl_massjerr1,pl_massjerr2,pl_radj,pl_radlim,pl_radjerr1,pl_radjerr2,pl_dens,pl_denslim,pl_denserr1,pl_denserr2,pl_ttvflag,pl_kepflag,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_lum,st_lumerr,st_lumlim,st_lumblend,pl_eqt,pl_eqtlim,pl_eqterr1,pl_eqterr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_disc,pl_status
1,4 UMa,b,Radial Velocity,1,269.30000000,0,1.96000000,-1.96000000,0.870000,0,0.040000,-0.040000,0.432000,0,0.024000,-0.024000,,,,,,,,,,,,,,,,,0,0,130.053406,64.327934,62.39,3.43,-3.43,0,4.610,,0,0,4415.00,70.00,0,,1.23,0.15,0,,18.11,1.47,0,,HD 73108,HIP 42527,5.00,K0,,0,0,,,,,,,,,,,,,,,2006,3
2,6 Lyn,b,Radial Velocity,1,874.77400000,0,16.27000000,-8.47000000,2.180000,0,0.050000,-0.060000,0.059000,0,,,,,,,,,,,,,,,,,,,0,0,97.696281,58.162632,56.90,2.50,-2.50,0,5.880,,0,0,4978.00,18.00,0,,1.82,0.13,0,,5.20,0.40,0,,HD 45410,HIP 31039,4.50,G5,,0,0,1.176,,0,,,,,,,,,,,,2008,3
3,7 CMa,b,Radial Velocity,1,763.00000000,0,17.00000000,-17.00000000,1.900000,0,0.100000,-0.100000,0.140000,0,0.060000,-0.060000,,,,,,,,,,,,,,,,,0,0,99.170990,-19.255878,19.75,0.09,-0.09,0,3.920,,0,0,4792.00,100.00,0,,1.52,0.30,0,,2.30,0.10,0,,HD 47205,HIP 31592,5.10,K1 III (+ M),,0,0,1.053,0.012,0,,,,,,,,,,,,2011,3
4,11 Com,b,Radial Velocity,1,326.03000000,0,0.32000000,-0.32000000,1.290000,0,0.050000,-0.050000,0.231000,0,0.005000,-0.005000,,,,,,,,,,,,,,,,,0,0,185.179276,17.792868,112.00,,,0,4.740,,0,0,4742.00,100.00,0,,2.70,0.30,0,,19.50,2.00,0,,HD 107383,HIP 60202,5.00,K0,,0,0,2.243,0.085,0,,,,,,,,,,,,2007,3
5,11 UMi,b,Radial Velocity,1,516.22000000,0,3.25000000,-3.25000000,1.540000,0,0.070000,-0.070000,0.080000,0,0.030000,-0.030000,,,,,,,,,,,,,,,,,0,0,229.274536,71.823898,119.50,6.60,-6.60,0,5.016,0.009,0,0,4340.00,70.00,0,,1.80,0.25,0,,24.08,1.84,0,,HD 136726,HIP 74793,5.00,K0,,0,0,,,,,,,,,,,,,,,2009,3
6,14 And,b,Radial Velocity,1,185.84000000,0,0.23000000,-0.23000000,0.830000,0,,,0.000000,0,,,,,,,,,,,,,,,,,,,0,0,352.822571,39.236198,76.40,4.10,-4.10,0,5.220,,0,0,4813.00,20.00,0,,2.20,0.20,0,,11.00,2.00,0,,HD 221345,HIP 116076,5.00,K0,,0,0,1.763,,0,,,,,,,,,,,,2008,3
7,14 Her,b,Radial Velocity,1,1773.40000000,0,2.50000000,-2.50000000,2.770000,0,0.050000,-0.050000,0.369000,0,0.005000,-0.005000,,,,,,,,,,,,,,,,,0,0,242.601303,43.817646,18.15,0.19,-0.20,0,6.605,0.010,0,0,5311.00,87.00,0,,0.90,,0,,,,,,HD 145675,HIP 79248,5.00,K0 IV-V,,0,0,,,,,,,,,,,,,,,2002,3
8,16 Cyg B,b,Radial Velocity,1,798.50000000,0,1.00000000,-1.00000000,1.681000,0,0.097000,-0.097000,0.681000,0,0.017000,-0.017000,,,,,1.68000,0,0.15000,-0.15000,,,,,,,,,0,0,295.466553,50.517525,21.41,0.24,-0.24,0,6.200,,0,0,5674.00,44.00,0,,0.99,,0,,1.16,0.04,0,,HD 186427,HIP 96901,4.30,G3 V,,0,0,,,,,,,,,533.93000,47.67000,-47.67000,,,,1996,3
9,18 Del,b,Radial Velocity,1,993.30000000,0,3.20000000,-3.20000000,2.600000,0,,,0.080000,0,0.010000,-0.010000,,,,,,,,,,,,,,,,,0,0,314.608063,10.839286,73.10,3.70,-3.70,0,5.506,0.009,0,0,4979.00,18.00,0,,2.30,,0,,8.50,,0,,HD 199665,HIP 103527,5.00,K0,,0,0,1.602,,0,,,,,,,,,,,,2008,3
10,24 Sex,b,Radial Velocity,2,452.80000000,0,2.10000000,-4.50000000,1.333000,0,0.004000,-0.009000,0.090000,0,0.140000,-0.060000,,,,,,,,,,,,,,,,,0,0,155.868210,-0.902244,74.80,4.90,-4.90,0,6.441,0.010,0,0,5098.00,44.00,0,,1.54,0.08,0,,4.90,0.08,0,,HD 90043,HIP 50887,5.00,K0 IV,,0,0,1.164,0.003,0,,,,,,,,,,,,2010,3
